Category,SL_No,AIRLINE_NAME,JANUARY_PASSENGERS_TO_INDIA,JANUARY_PASSENGERS_FROM_INDIA,JANUARY_FREIGHT_TO_INDIA,JANUARY_FREIGHT_FROM_INDIA,FEBRUARY_PASSENGERS_TO_INDIA,FEBRUARY_PASSENGERS_FROM_INDIA,FEBRUARY_FREIGHT_TO_INDIA,FEBRUARY_FREIGHT_FROM_INDIA,MARCH_PASSENGERS_TO_INDIA,MARCH_PASSENGERS_FROM_INDIA,MARCH_FREIGHT_TO_INDIA,MARCH_FREIGHT_FROM_INDIA
DOMESTIC CARRIERS,1,AIR INDIA,265923,273628,3708.8,5343.3,222515,245041,4243.6,6088.8,243751,271652,5096.1,7348.8
DOMESTIC CARRIERS,2,AIR INDIA EXPRESS,146797,168101,147.2,778.4,116257,147277,70.4,807.4,142077,162078,70.4*,807.4*
DOMESTIC CARRIERS,3,INDIGO,94494,98127,132.0,1004.0,80821,87205,108.0,1037.0,99089,102164,138.0,1244.0
DOMESTIC CARRIERS,4,JET AIRWAYS,378633,400155,5387.9,7617.7,292442,334102,5081.7,7699.0,315064,344315,6657.1,9343.5
DOMESTIC CARRIERS,5,SPICEJET,75312,77755,116.3,403.8,64632,69394,95.8,411.2,72940,76388,99.3,503.4
DOMESTIC CARRIERS,6,TOTAL (DOMESTIC CARRIERS),961159,1017766,9492.2,15147.3,776667,883019,9599.6,16043.4,872921,956597,12060.9,19247.1
FOREIGN CARRIERS,1,AEROFLOT,10137,9813506,7.4,211.6,11531,11497,10.2,388.1,10536,14607,19.6,498.5
FOREIGN CARRIERS,2,AEROLOGIC,0,0,3.3,3.8,0,0,3.2,4.1,0,0,3.7,3.9
FOREIGN CARRIERS,3,AIR ARABIA,73448,78737,137.0,983.4,62153,69662,100.1,1033.3,70796,75260,165.1,1190.3
FOREIGN CARRIERS,4,AIR ASIA X,5452,5362,199.8,179.8,4852,5220,156.0,190.3,5637,5925,181.2,260.0
FOREIGN CARRIERS,5,AIR ASIA BERHAD,35155,34051,112.3,372.2,27592,30594,61.3,301.6,30714,30601,87.0,322.3
FOREIGN CARRIERS,6,AIR ASTANA,3821,3808,2.9,47.9,3308,3830,0.8,64.4,3036,4266,1.7,64.6
FOREIGN CARRIERS,7,AIR AUSTRAL,749,1059,0.0,5.6,352,424,0.0,5.6,594,621,0.5,6.9
FOREIGN CARRIERS,8,AIR CANADA,8857,8680,60.6,188.7,8119,7962,82.5,191.1,11323,12816,121.9,257.7
FOREIGN CARRIERS,9,AIR CHINA,5592,4796,153.6,101.1,4767,4994,72.1,151.0,4757,5542,155.9,129.4
FOREIGN CARRIERS,10,AIR FRANCE,26282,27114,1017.8,1229.1,22193,23132,1254.2,825.3,19022,23096,1256.3,1324.6
FOREIGN CARRIERS,11,AIR MANAS,1271,1131,0.0,12.6,985,1326,0.0,27.7,950,1443,3.2,15.9
FOREIGN CARRIERS,12,AIR MAURITIUS,8262,9066,35.5,188.2,7495,8052,16.7,211.1,8171,7746,19.9,255.1
FOREIGN CARRIERS,13,AIR SEYCHELLES,2579,2699,0.7,6.0,2440,2547,0.3,5.7,2721,2596,0.4,6.9
FOREIGN CARRIERS,14,ALL NIPPON AIRWAYS,6918,8594,457.4,348.7,6990,7345,393.4,460.9,7037,9685,570.7,454.3
FOREIGN CARRIERS,15,ARIANA AFGHAN,2585,2054,45.8,71.5,2378,2196,21.6,66.4,2347,2515,57.5,77.6
FOREIGN CARRIERS,16,ASIANA AIRLINES,6039,5769,110.9,78.8,6368,6353,84.2,54.2,5197,7038,128.4,56.7
FOREIGN CARRIERS,17,AUSTRIAN AIRLINES,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,18,BANGKOK AIRWAYS,4037,4172,0.2,33.4,3791,3674,37.2,0.2,3411,3605,45.0,0.1
FOREIGN CARRIERS,19,BHUTAN AIRLINES,718,520,0.0,0.0,876,817,0.0,0.0,1546,1571,0.0,0.0
FOREIGN CARRIERS,20,BIMAN BANGLADESH,4019,4727,0.1,2.8,3755,4530,0.0,0.0,3593,4029,0.1,0.0
FOREIGN CARRIERS,21,BRITISH AIRWAYS,44941,48363,1504.1,3013.4,39494,42938,1504.5,2714.9,35972,46690,1838.9,3171.5
FOREIGN CARRIERS,22,BRUSSELS AIRLINES,0,0,0.0,0.0,0,0,0.0,0.0,465,237,8.8,2.2
FOREIGN CARRIERS,23,BUDDHA AIR,92,65,0.0,0.0,78,75,0.0,0.0,70,72,0.0,0.0
FOREIGN CARRIERS,24,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,54.1,337.3,0,0,371.9,1006.4,0,0,280.9,0.0
FOREIGN CARRIERS,25,CATHAY PACIFIC,31330,32246,6466.0,3407.8,23265,31195,4346.6,3750.5,27854,33477,7562.4,4584.0
FOREIGN CARRIERS,26,CHINA AIRLINES LTD,3141,2842,209.8,192.1,2742,3183,177.4,234.8,2547,3317,198.7,238.2
FOREIGN CARRIERS,27,CHINA EASTERN AIRLINES,10754,8497,30.8,182.1,7460,9686,158.6,168.7,8880,11363,334.7,225.7
FOREIGN CARRIERS,28,CHINA SOUTHERN,11347,8583,295.9,41.6,8269,10180,203.8,32.6,10389,12998,429.2,55.9
FOREIGN CARRIERS,29,DRAGON AIR,2655,2948,2.3,8.0,6437,8829,2.4,8.3,7628,8949,5.0,11.9
FOREIGN CARRIERS,30,DRUK AIR,3347,2965,1.2,4.3,2841,2739,0.1,6.0,3907,3638,0.1,6.6
FOREIGN CARRIERS,31,EGYPT AIR,1891,1848,3.8,27.0,1233,1399,3.3,21.2,1396,1719,1.5,45.1
FOREIGN CARRIERS,32,EL-AL-ISRAEL,1489,1598,27.8,76.6,0,0,0.0,0.0,2164,2793,81.2,167.8
FOREIGN CARRIERS,33,EMIRATES AIRLINE,244945,259685,4909.8,12225.8,195490,226452,4480.5,12180.6,193750,233629,5814.7,14194.7
FOREIGN CARRIERS,34,ETHIOPIAN AIRLINES,3448,5220,19.7,17.5,3010,3538,18.3,17.2,3398,4032,7.9,31.5
FOREIGN CARRIERS,35,ETIHAD AIRLINES,114043,125858,1213.0,2302.1,101976,121377,1149.2,2404.2,107393,122014,1627.1,2563.3
FOREIGN CARRIERS,36,EVA AIRWAYS,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,37,FEDERAL EXPRESS,0,0,1092.7,2062.8,0,0,910.9,1977.0,0,0,1174.6,2552.0
FOREIGN CARRIERS,38,FINN AIR,5215,5895,110.6,252.7,4960,4923,185.9,249.4,3980,6032,189.1,314.5
FOREIGN CARRIERS,39,FLY DUBAI,20227,21350,17.0,228.4,18177,19826,7.3,221.5,21560,21960,10.4,234.7
FOREIGN CARRIERS,40,GARUDA INDONESIA,1531,1680,1.6,20.7,1294,1445,1.4,17.6,1279,1261,0.8,35.0
FOREIGN CARRIERS,41,GULF AIR,35907,39231,65.7,641.2,30999,34253,60.5,600.3,36158,35666,81.4,771.3
FOREIGN CARRIERS,42,IRAN AIR,1225,1180,1.4,4.2,843,842,0.6,1.0,1006,772,0.5,0.8
FOREIGN CARRIERS,43,IRAQI AIRWAYS,0,30,0.0,0.0,0,37,0.0,0.0,1967,1932,0.0,0.0
FOREIGN CARRIERS,44,ISLAND AVIATION SERVICES,4014,5772,5.1,58.2,4436,4634,4.0,58.5,5175,5607,4.7,86.4
FOREIGN CARRIERS,45,JAPAN AIRLINES,4096,4365,397.6,173.7,4302,4329,376.0,232.9,4060,5341,463.0,296.0
FOREIGN CARRIERS,46,KALITTA AIR,0,0,1326.2,1135.5,0,0,1214.6,1294.7,0,0,1433.5,1295.9
FOREIGN CARRIERS,47,KAM AIR,5810,4682,0.0,208.5,56,78,0.0,229.5,5255,5537,0.0,150.0
FOREIGN CARRIERS,48,KENYA AIRWAYS,7006,8397,14.6,4.8,6306,7553,8.4,3.6,6772,7990,16.0,5.1
FOREIGN CARRIERS,49,KLM AIRLINES,12010,12019,176.0,328.8,10231,10711,188.2,297.2,8393,10759,255.5,384.6
FOREIGN CARRIERS,50,KOREAN AIR,5773,5806,243.3,133.3,5217,5799,178.1,154.6,5050,5809,252.2,163.9
FOREIGN CARRIERS,51,KUWAIT AIRWAYS,27796,30203,310.0,1091.7,23266,26579,334.5,1181.1,25082,28728,356.3,1404.9
FOREIGN CARRIERS,52,LUFTHANSA,49947,54389,3009.0,2795.6,47658,50005,3228.4,2945.0,43394,60163,4523.1,3950.1
FOREIGN CARRIERS,53,MAHAN AIR,2036,2238,5.4,52.6,2448,1800,10.4,81.5,5120,4268,10.3,128.3
FOREIGN CARRIERS,54,MALAYSIA AIRLINES,37099,38439,1272.5,950.2,30724,35540,744.1,946.8,33919,34035,1432.2,1306.2
FOREIGN CARRIERS,55,MALINDO AIRWAYS,31346,30572,22.8,159.1,27440,29925,21.0,163.7,28679,31602,25.0,166.3
FOREIGN CARRIERS,56,MEGA MALDIVES AIRLINES,1005,991,0.0,0.0,1527,1631,0.0,2.8,783,1422,4.0,2.3
FOREIGN CARRIERS,57,MIHIN LANKA,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,58,MYANMAR AIRLINES,1882,1854,0.0,0.0,3303,2663,0.0,0.0,2881,3652,0.0,0.0
FOREIGN CARRIERS,59,NEPAL AIRLINES CORPORATION,6070,5768,0.0,4.8,7354,7161,0.0,2.3,8233,7914,0.0,2.1
FOREIGN CARRIERS,60,NOVO AIR,1727,1905,0.0,0.0,1612,1585,0.0,0.0,1279,1307,0.0,0.0
FOREIGN CARRIERS,61,OMAN AIR,76179,79613,75.5,937.8,64996,75171,126.0,1414.0,76449,81312,119.1,1432.5
FOREIGN CARRIERS,62,PAK INTERNATIONAL,827,977,1.0,18.6,543,770,1.0,17.0,752,1283,2.3,25.1
FOREIGN CARRIERS,63,QATAR AIRWAYS,94947,98443,5147.7,8072.2,80017,85497,5023.9,8361.5,81047,87028,5948.0,10144.7
FOREIGN CARRIERS,64,REGENT AIRWAYS,9230,9045,0.0,6.0,8914,8608,0.0,1.9,10110,10234,0.0,9.8
FOREIGN CARRIERS,65,ROSSIYA AIRLINES,9882,9071,0.0,0.0,8229,8232,0.0,0.0,7983,8797,0.0,0.0
FOREIGN CARRIERS,66,SAFI AIRWAYS,3497,3087,51.7,96.0,3241,2938,87.2,118.7,3206,3273,14.8,61.1
FOREIGN CARRIERS,67,SAUDIA,72390,68452,187.7,2237.5,52801,58217,213.5,2420.0,55807,63633,265.3,3032.9
FOREIGN CARRIERS,68,SCAT AIRLINES,1094,1083,0.0,0.0,1045,1070,0.0,0.0,876,1266,0.0,0.0
FOREIGN CARRIERS,69,SCOOT PTE LTD.,14332,11611,225.7,363.4,10056,11046,229.7,394.0,10564,10396,268.7,463.7
FOREIGN CARRIERS,70,SHANDONG AIRLINES,1984,1343,0.0,0.0,1677,2176,0.0,0.0,1719,2434,0.0,0.0
FOREIGN CARRIERS,71,SILK AIR,20680,30583,117.6,242.5,14691,22349,59.8,196.3,14348,17659,82.5,231.8
FOREIGN CARRIERS,72,SINGAPORE AIRLINES,51700,57055,2928.8,3057.7,39725,47778,2209.3,2778.3,43787,50232,3330.8,3129.9
FOREIGN CARRIERS,73,SRILNKAN AIRWAYS,57623,56226,702.8,1280.7,47434,47993,632.8,1395.3,52197,54815,738.4,1528.5
FOREIGN CARRIERS,74,SWISS AIR,12151,13824,737.7,919.7,10292,11894,720.0,802.7,8441,13636,945.5,1048.8
FOREIGN CARRIERS,75,TAJIK AIR,373,423,0.0,14.5,446,402,2.4,14.8,291,347,0.0,13.3
FOREIGN CARRIERS,76,THAI AIR ASIA,11450,11836,91.7,60.6,14044,14177,44.2,92.6,14715,14983,98.6,73.0
FOREIGN CARRIERS,77,THAI AIRWAYS,62725,60665,2511.8,1807.9,50834,58271,2012.7,1892.8,55187,60588,2747.2,2164.7
FOREIGN CARRIERS,78,THAI SMILE AIRWAYS,7198,4761,0.0,0.0,5593,5470,0.0,0.0,4807,5733,0.0,0.0
FOREIGN CARRIERS,79,THOMAS COOK AIRLINES U.K.,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,80,TIGER AIRWAYS,22345,21728,84.7,237.8,18362,18933,50.6,192.9,19357,18112,90.0,238.2
FOREIGN CARRIERS,81,TRANSAERO AIRLINES,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,82,TURKISH AIRLINES,19386,21146,761.4,934.8,19552,20798,936.8,1173.9,16293,22284,893.0,1104.8
FOREIGN CARRIERS,83,TURKMENISTAN AIRLINES,2754,3565,0.0,23.8,4299,2915,0.0,12.5,4478,4702,0.0,11.2
FOREIGN CARRIERS,84,UNITED AIRLINES,14034,15425,195.9,262.8,12143,12970,196.6,356.7,14466,11864,236.1,400.9
FOREIGN CARRIERS,85,UNITED AIRLINES BANGLADESH LTD.,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
FOREIGN CARRIERS,86,UNITED PARCEL SERVICES,0,0,289.4,358.9,0,0,252.6,380.9,0,0,646.8,433.1
FOREIGN CARRIERS,87,US BANGLA AIRLINES,0,0,0.0,0.0,4285,4213,0.0,0.0,4597,4595,0.0,0.0
FOREIGN CARRIERS,88,UZBEKISTAN AIRWAYS,4112,4505,282.3,419.6,4162,4605,281.1,445.9,4311,5048,386.3,494.9
FOREIGN CARRIERS,89,VIRGIN ATLANTIC AIRLINES,5512,6761,168.1,406.6,6491,5920,195.1,446.4,7131,7810,236.7,513.8
FOREIGN CARRIERS,90,YEMENIA AIRWAYS,499,492,0.0,3.9,555,336,0.0,4.2,622,715,0.0,6.3

